"id","name","cn_name","category","description"
1,PineWiltDisease,松材线虫病,病原与病害,一种全球范围的毁灭性森林病害，被称为松树的“癌症”。
2,Predator,天敌,生物防治,捕食或寄生害虫的生物，用于维持生态平衡和自然控制。
3,SclerodermusGuani,管式肿腿峰,生物防治,一种被广泛用于林木蛀干害虫防治的昆虫，能有效寄生天牛幼虫。
4,DastarcusHelophoroides,花绒寄甲,生物防治,花绒寄甲的幼虫寄生多种天牛的幼虫，对抑制天牛危害有较大作用。
5,PathogenicMicroorganisms,病原微生物,生物防治,用于防治害虫的真菌、细菌或病毒，能致死目标害虫。
6,Beauveria,白僵菌,生物防治,一种广谱昆虫病原真菌，接触昆虫后萌发菌丝致其死亡。
7,Metarhizium,绿僵菌,生物防治,一种真菌杀虫剂，孢子附着虫体后入侵，导致害虫僵死。
8,MetarhiziumAdvantages,优点,生物防治,具有无残留、无抗药性、对环境友好等显著生态优势。
9,MetarhiziumSafety,对人畜无害,生物防治,对人类和家畜安全无毒，符合绿色防控的环保要求。
10,MetarhiziumEnvironmentFriendly,不污染环境,生物防治,在自然界中可降解，不会造成土壤和水体的化学污染。
11,Vector,媒介昆虫,媒介昆虫,携带并传播病原物的昆虫，是松材线虫病扩散的关键载体。
12,MonochamusAlternatus,松褐天牛,媒介昆虫,松材线虫的主要传播媒介，成虫啃食嫩枝时传播线虫。
13,MonochamusAlternatus,松墨天牛,媒介昆虫,即松褐天牛，是松材线虫病在中国最主要的媒介昆虫。
14,ArhopalusRusticus,褐幽天牛,媒介昆虫,松树次期害虫，偶见携带松材线虫，辅助传播风险较低。
15,HostPlant,寄主植物,寄主植物,能被松材线虫侵染并寄生的植物，主要是松属植物。
16,PinusTabuliformis,油松,寄主植物,中国北方常见造林树种，因分布广，易受松材线虫侵害。
17,PinusDensiflora,赤松,寄主植物,主要分布于沿海地区，由于林分纯度高，感病风险较大。
18,PinusThunbergiiParl,黑松,寄主植物,抗病性较弱的松树品种，感染松材线虫后死亡率极高。
19,PinusArmandii,华山松,寄主植物,中国特有树种，虽有一定抗性，但在特定条件下仍可发病。
20,PinusBungeana,白皮松,寄主植物,观赏价值高的松树，需重点保护以免受线虫病侵害。
21,Pathogen,病原物,病原与病害,引起植物病害的生物因子，此处特指松材线虫。
