source_id,target_id,rel_type,cn_name
1,15,DAMAGES,危害
1,21,CAUSED_BY,起因于
1,23,HAS_SYMPTOM,表现症状
1,31,HAS_FEATURE,具有特征
15,55,HAS_ATTRIBUTE,具有属性
55,16,CONTAINS,包含
55,17,CONTAINS,包含
55,18,CONTAINS,包含
55,19,CONTAINS,包含
55,20,CONTAINS,包含
21,22,IS_A,是
23,24,CONTAINS,包含
23,27,CONTAINS,包含
23,29,CONTAINS,包含
24,27,EVOLVES_TO,发展为
27,29,EVOLVES_TO,发展为
24,25,MANIFESTS,表现为
24,26,MANIFESTS,表现为
27,28,MANIFESTS,表现为
29,30,MANIFESTS,表现为
31,32,CONTAINS,包含
31,33,CONTAINS,包含
31,34,CONTAINS,包含
11,21,CARRIES,携带
11,1,TRANSMIT,传播
11,2,HAS_NATURAL_ENEMY,有天敌
2,3,CONTAINS,包含
2,4,CONTAINS,包含
2,5,CONTAINS,包含
5,6,CONTAINS,包含
5,7,CONTAINS,包含
65,12,CONTAINS,包含
12,13,AKA,别名
65,14,CONTAINS,包含
35,36,COMPRISES,由...组成
35,60,COMPRISES,由...组成
35,61,COMPRISES,由...组成
36,37,COMPRISES,由...组成
36,48,COMPRISES,由...组成
36,62,COMPRISES,由...组成
37,38,COMPRISES,由...组成
37,47,COMPRISES,由...组成
38,39,COMPRISES,由...组成
38,44,COMPRISES,由...组成
39,40,DEPENDS_ON,取决于
39,41,DEPENDS_ON,取决于
39,42,DEPENDS_ON,取决于
42,43,COEXISTS_WITH,伴随
42,15,REFERS_TO,涉及对象
41,11,REFERS_TO,涉及对象
44,45,DEPENDS_ON,取决于
44,46,DEPENDS_ON,取决于
47,21,ANALYZES,分析
47,63,STUDIES,研究因子
47,15,ANALYZES,分析
47,11,ANALYZES,分析
48,11,ANALYZES,分析
11,49,HAS_FEATURE,具有特征
49,50,CONTAINS,包含
49,52,CONTAINS,包含
11,65,HAS_ATTRIBUTE,具有属性
11,51,HAS_ABILITY,具有能力
12,16,INFECTS,侵染
12,17,INFECTS,侵染
12,53,REQUIRES,需要
48,15,ANALYZES,分析
15,54,HAS_ATTRIBUTE,具有属性
54,56,CONTAINS,包含
54,57,CONTAINS,包含
54,58,CONTAINS,包含
15,59,HAS_FEATURE,具有特征
59,64,AFFECTED_BY,受...影响
59,66,CONTAINS,包含
59,67,CONTAINS,包含
15,68,HAS_ATTRIBUTE,具有属性
48,69,COMPRISES,由...组成
69,63,STUDIES,研究因子
63,70,CONTAINS,包含
63,71,CONTAINS,包含
69,72,STUDIES,研究因子
72,73,CONTAINS,包含
73,74,CONTAINS,包含
60,75,YIELDS,得出
60,76,YIELDS,得出
60,77,YIELDS,得出
60,78,YIELDS,得出
61,79,ADOPTS,采取
79,80,CONTAINS,包含
79,84,CONTAINS,包含
79,86,CONTAINS,包含
61,90,ADOPTS,采取
80,81,ADOPTS,采取
80,82,ADOPTS,采取
80,83,ADOPTS,采取
84,85,ADOPTS,采取
84,2,USES,利用
86,87,ADOPTS,采取
86,88,ADOPTS,采取
86,89,ADOPTS,采取
90,91,CONTAINS,包含
90,92,CONTAINS,包含
92,93,ADOPTS,采取
92,94,ADOPTS,采取
90,95,ADOPTS,采取
3,12,PARASITIZES,寄生
3,13,PARASITIZES,寄生
4,12,PARASITIZES,寄生
4,13,PARASITIZES,寄生
6,11,INFECTS,侵染
7,11,INFECTS,侵染
7,12,KILLS,致死
22,1,CAUSES,引起
22,15,INFECTS,侵染
22,16,INFECTS,侵染
22,18,INFECTS,侵染
12,22,TRANSMITS,传播
63,22,AFFECTS_REPRODUCTION,影响繁殖
63,12,AFFECTS_ACTIVITY,影响活动
72,15,AFFECTS_RESISTANCE,影响抗性
85,12,TRAPS,诱捕
85,13,TRAPS,诱捕
94,11,REMOVES_HABITAT,清除栖息地
94,22,ELIMINATES_SOURCE,清除侵染源
93,22,ELIMINATES_SOURCE,清除侵染源
45,22,RISK_OF_CARRYING,存在携带风险
7,8,PROS,优点
7,9,PROS,优点
7,10,PROS,优点
